batch,framework,n,sbfl_rank1,markov_rank1,rank1_exact_match,sbfl_rank1_ochiai,markov_rank1_delta
2026-05-27T090031,AG2,3,TERMINATE :: PLAN :: ACT,TERMINATE :: PLAN :: ACT,True,0.7316071539276616,0.0620448481551294
2026-05-27T090031,MetaGPT,3,PLAN :: VERIFY_FAIL :: PROVIDE,PLAN :: VERIFY_FAIL :: PROVIDE,True,0.8456454807244981,0.873791539423375
2026-05-27T090031,ChatDev,3,ACT :: TERMINATE :: PROVIDE,ACT :: TERMINATE :: PROVIDE,True,0.7174336870793402,0.0947094362768957
2026-05-27T090031,Magentic,3,REQUEST :: PLAN :: ACT,REQUEST :: PLAN :: ACT,True,0.7544183225801492,0.0725526138173808
2026-05-27T090031,HyperAgent,3,ACT :: TERMINATE :: ACT,ACT :: TERMINATE :: ACT,True,0.6210590034081188,0.0410637017521768
2026-05-27T090031,AG2,4,TERMINATE :: PLAN :: ACT :: PROVIDE,TERMINATE :: PLAN :: ACT :: PROVIDE,True,0.6346080033937744,0.0865949769818492
2026-05-27T090031,MetaGPT,4,PLAN :: REQUEST :: PLAN :: VERIFY_FAIL,PLAN :: REQUEST :: PLAN :: VERIFY_FAIL,True,0.8456454807244981,1.0350327023215165
2026-05-27T090031,ChatDev,4,PROVIDE :: ACT :: TERMINATE :: PROVIDE,PROVIDE :: ACT :: TERMINATE :: PROVIDE,True,0.7174336870793402,0.110823825141516
2026-05-27T090031,Magentic,4,REQUEST :: PLAN :: ACT :: PLAN,REQUEST :: PLAN :: ACT :: PLAN,True,0.7345541009604415,0.0968459971308394
2026-05-27T090031,HyperAgent,4,PLAN :: ACT :: TERMINATE :: ACT,TERMINATE :: PLAN :: ACT :: PLAN,False,0.6210590034081188,0.1651913869183999
