label,study_id,framework,n,condition,n_traces,n_failing_runs,n_triggered_runs,n_occurrence_calls,caused_pct,not_caused_pct,caused_n,not_caused_n,caused_triggered,mean_localization_distance,e2e_caused_pct,n_e2e_caused_traces,trigger_rate,occurrence_caused_pct,occurrence_caused_n,n_occurrences_judged
MetaGPT cross-task Markov rank-1 (n=4),cross_task,MetaGPT,4,markov,98,172,98,98,65.3,34.7,64,34,64/98,,37.2,64,57.0,65.3,64,98
MetaGPT cross-task rank-1 (n=4),cross_task,MetaGPT,4,rank1,98,172,98,98,68.4,31.6,67,31,67/98,,39.0,67,57.0,68.4,67,98
MetaGPT cross-task random (n=4),cross_task,MetaGPT,4,random,98,98,98,98,15.3,84.7,15,83,15/98,,15.3,15,100.0,15.3,15,98
MetaGPT cross-task rank-1 (n=3),cross_task,MetaGPT,3,rank1,98,172,98,98,70.4,29.6,69,29,69/98,,40.1,69,57.0,70.4,69,98
MetaGPT cross-task random (n=3),cross_task,MetaGPT,3,random,98,98,98,98,16.3,83.7,16,82,16/98,,16.3,16,100.0,16.3,16,98
MetaGPT cross-task rank-1 (n=2),cross_task,MetaGPT,2,rank1,111,172,125,111,48.6,51.4,54,57,54/111,,31.4,54,72.7,48.6,54,111
MetaGPT cross-task random (n=2),cross_task,MetaGPT,2,random,125,125,125,125,19.2,80.8,24,101,24/125,,19.2,24,100.0,19.2,24,125
HyperAgent cross-task rank-1 (n=4),cross_task,HyperAgent,4,rank1,9,14,9,9,22.2,77.8,2,7,2/9,,14.3,2,64.3,22.2,2,9
HyperAgent cross-task random (n=4),cross_task,HyperAgent,4,random,9,9,9,9,0.0,100.0,0,9,0/9,,0.0,0,100.0,0.0,0,9
HyperAgent cross-task rank-1 (n=3),cross_task,HyperAgent,3,rank1,8,14,9,8,12.5,87.5,1,7,1/8,,7.1,1,64.3,12.5,1,8
HyperAgent cross-task rank-1 (n=2),cross_task,HyperAgent,2,rank1,9,14,10,9,11.1,88.9,1,8,1/9,,7.1,1,71.4,11.1,1,9
HyperAgent RQ3 same-task rank-1 (n=4),same_task,HyperAgent,4,rank1,42,71,42,42,64.3,35.7,27,15,27/42,,38.0,27,59.2,64.3,27,42
HyperAgent RQ3 same-task random (n=4),same_task,HyperAgent,4,random,42,42,42,42,0.0,100.0,0,42,0/42,,0.0,0,100.0,0.0,0,42
HyperAgent RQ3 same-task rank-1 (n=3),same_task,HyperAgent,3,rank1,44,71,44,44,4.5,95.5,2,42,2/44,,2.8,2,62.0,4.5,2,44
AG2 cross-task rank-1 (n=4),cross_task,AG2,4,rank1,235,497,235,235,63.4,36.6,149,86,149/235,,30.0,149,47.3,63.4,149,235
AG2 cross-task random (n=4),cross_task,AG2,4,random,234,235,235,234,20.9,79.1,49,185,49/234,,20.9,49,100.0,20.9,49,234
cross_task/HyperAgent/n3/random,cross_task,HyperAgent,3,random,9,9,9,9,0.0,100.0,0,9,0/9,,0.0,0,100.0,0.0,0,9
same_task/HyperAgent/n3/random,same_task,HyperAgent,3,random,44,44,44,44,0.0,100.0,0,44,0/44,,0.0,0,100.0,0.0,0,44
